id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
162,0,28,0,55,0,0,1,1,120,4,0.32885617
163,1,22,0,25,1,0,1,0,60,2,1.4289674
164,0,27,1,25,1,0,0,0,60,4,-2.23807
165,0,33,1,25,1,0,0,0,60,2,1.0622636
166,0,23,0,25,1,0,0,1,45,3,-0.40455133
167,0,26,0,67,1,0,0,0,60,3,-0.03784757
168,0,37,0,55,1,0,0,1,40,3,-0.40455133
169,0,32,0,88,1,0,0,0,120,3,0.69555992
170,0,41,0,5,1,0,1,1,120,3,0.69555992
171,0,28,1,35,1,1,0,1,30,3,-0.40455133
172,1,27,1,55,1,0,1,0,90,4,0.69555992
173,0,32,0,88,1,0,1,1,120,4,0.32885617
174,1,20,1,67,0,0,0,1,80,5,1.4289674
175,0,33,1,200,0,0,0,1,60,2,-0.40455133
176,1,19,0,200,0,0,1,0,60,4,1.4289674
177,0,19,0,25,1,0,0,0,85,3,0.69555992
178,0,47,0,35,1,1,0,1,60,3,-1.5046625
179,1,28,1,55,1,0,1,1,120,4,0.32885617
180,0,20,0,25,0,0,1,0,60,4,0.32885617
181,0,29,1,15,0,0,0,0,90,3,-1.5046625
182,0,26,0,25,0,0,1,0,120,3,1.0622636
183,0,26,1,45,0,0,0,1,75,3,1.0622636
184,0,32,0,15,1,0,0,0,120,5,0.69555992
185,0,25,0,55,1,0,0,0,120,4,0.69555992
186,0,29,0,88,1,0,1,1,45,4,-0.40455133
187,0,23,1,200,0,0,0,0,120,4,-1.1379588
188,0,63,0,15,1,0,1,1,45,5,0.32885617
189,0,24,0,200,1,0,0,1,20,4,1.0622636
190,1,25,0,55,1,0,0,0,60,4,0.69555992
191,0,34,1,35,0,0,1,0,120,3,-1.5046625
192,1,25,0,45,1,0,1,1,60,5,0.32885617
193,0,29,0,35,1,0,0,0,120,5,-2.23807
194,0,60,0,88,0,0,1,0,60,5,-0.03784757
195,0,22,1,112,0,0,0,1,60,4,0.32885617
196,1,24,0,67,1,0,1,1,35,3,1.0622636
197,0,20,0,67,0,0,0,0,20,2,1.4289674
198,0,21,0,55,0,0,1,0,80,4,0.69555992
